Grantee Name,Grantee Type,Grantee City,Grantee State,Licensee Name
KHSU-FM                                                                         ,Radio,Arcata ,CA,Humboldt State University
KCHO-FM                                                                         ,Radio,Chico ,CA,Chico State Enterprises
KSJV-FM                                                                         ,Radio,Fresno,CA,"Radio Bilingue, Inc."
KIDE-FM                                                                         ,Radio,Hoopa ,CA,Hoopa Valley Tribe
KKJZ-FM,Radio,Long Beach,CA,"California State University, Long Beach Foundation"
KUSC-FM                                                                         ,Radio,Los Angeles,CA,University of Southern California
KVMR-FM                                                                         ,Radio,Nevada City,CA,Nevada City Community Broadcast Group
KCSN-FM                                                                         ,Radio,Northridge,CA,"California State University, Northridge"
KAZU-FM                                                                         ,Radio,Seaside,CA,University Corporation at Monterey Bay
KZYX-FM,Radio,Philo ,CA,Mendocino County Public Broadcasting
KMUD-FM                                                                         ,Radio,Redway,CA,Redwood Community Radio
KXPR-FM                                                                         ,Radio,Sacramento,CA,"California State University, Sacramento"
KXJZ-FM                                                                         ,Radio,Sacramento,CA,"California State University, Sacramento"
KRCB-FM                                                                         ,Radio,Rohnert Park,CA,Rural California Broadcasting Corporation
KPBS-FM                                                                         ,Radio,San Diego,CA,San Diego State University
KALW-FM,Radio,San Francisco,CA,San Francisco Unified School District
KQED-FM                                                                         ,Radio,San Francisco,CA,KQED Inc.
KCBX-FM                                                                         ,Radio,San Luis Obispo,CA,"KCBX, Inc."
KCSM-FM                                                                         ,Radio,San Mateo,CA,San Mateo County Community College District
KCRW-FM                                                                         ,Radio,Santa Monica,CA,Santa Monica Community College District
KVPR-FM                                                                         ,Radio,Clovis,CA,"White Ash Broadcasting, Inc."
KSDS-FM,Radio,San Diego,CA,San Diego Community College District
KCLU-FM,Radio,Thousand Oaks,CA,California Lutheran University
KWMR-FM,Radio,Point Reyes Station,CA,"KWMR, Inc."
KZFR-FM,Radio,Chico,CA,Golden Valley Community Broadcasters
KXRN-LP,Radio,Laguna Beach,CA,Laguna Radio Inc.
KRZA-FM,Radio,Alamosa ,CO,Equal Rep. of Media Advocacy Corp.
KAJX-FM                                                                         ,Radio,Aspen ,CO,"Roaring Fork Public Radio, Inc."
KDNK-FM                                                                         ,Radio,Carbondale ,CO,Carbondale Community Access Radio
KGNU-FM                                                                         ,Radio,Boulder,CO,"Boulder Community Broadcast Association, Inc."
KRCC-FM                                                                         ,Radio,Colorado Springs,CO,The Colorado College
KZET-FM,Radio,Cortez,CO,"Community Radio Project, Inc."
KBUT-FM                                                                         ,Radio,Crested Butte,CO,Crested Butte Mountain Educational Radio Inc.
KVOD-FM,Radio,Centennial,CO,"Public Broadcasting of Colorado, Inc."
KUVO-FM                                                                         ,Radio,Denver,CO,"Rocky Mountain Public Broadcasting Network, Inc."
KUNC-FM                                                                         ,Radio,Greeley,CO,Community Radio for Northern Colorado
KSUT-FM                                                                         ,Radio,Ignacio,CO,"KUTE, Inc."
KVNF-FM                                                                         ,Radio,Paonia ,CO,"North Fork Valley Public Radio, Inc."
KOTO-FM,Radio,Telluride,CO,San Miguel Educational Fund
KRFC-FM,Radio,Fort Collins,CO,Pulbic Radio for the Front Range
KDUR-FM,Radio,Durango,CO,Fort Lewis College
KAFM-FM,Radio,Grand Junction,CO,"Grand Valley Public Radio Company, Inc."
KCME-FM,Radio,"Colorado Springs,",CO,"Cheyenne Mountain Public Broadcast House, Inc."
WSHU-FM                                                                         ,Radio,Fairfield,CT,"Sacred Heart University, Inc."
WPKT-FM                                                                         ,Radio,Hartford,CT,"Connecticut Public Broadcasting, Inc."
WMNR-FM                                                                         ,Radio,Monroe,CT,"Town of Monroe, Connecticut"
WHDD-FM,Radio,Sharon,CT,"Tri-State Public Communications, Inc."
WAMU-FM                                                                         ,Radio,Washington,DC,Board of Trustees of American University
WDDE-FM,Radio,Dover,DE,Delaware First Media Corporation
WGCU-FM                                                                         ,Radio,Fort  Myers,FL,"Board of Trustees, Florida Gulf Coast Universtiy"
WQCS-FM                                                                         ,Radio,Fort Pierce,FL,Indian River State College
WUFT-FM,Radio,Gainesville,FL,"Board of Trustees, University of Florida"
WJCT-FM                                                                         ,Radio,Jacksonville,FL,"WJCT, Inc."
WFIT-FM                                                                         ,Radio,Melbourne,FL,Florida Institute of Technology
WDNA-FM                                                                         ,Radio,Miami ,FL,"Bascomb Memorial Broadcasting Foundation, Inc."
WLRN-FM                                                                         ,Radio,Miami,FL,"The School Board of Miami-Dade County, Florida"
WUCF-FM                                                                         ,Radio,Orlando,FL,University of Central Florida
WMFE-FM                                                                         ,Radio,Orlando,FL,"Community Communications, Inc."
WKGC-FM                                                                         ,Radio,Panama City,FL,Gulf Coast Community College
WUWF-FM                                                                         ,Radio,Pensacola,FL,"Board of Trustees, University of West Florida"
WFSU-FM                                                                         ,Radio,Tallahassee,FL,Florida State University
WMNF-FM                                                                         ,Radio,Tampa,FL,Nathan B. Stubblefield Foundation
WUSF-FM                                                                         ,Radio,Tampa ,FL,University of South Florida
WUGA-FM                                                                         ,Radio,Atlanta,GA,Georgia Public Telecommunications Commission
WABE-FM,Radio,Atlanta,GA,Board of Education of the City of Atlanta
WCLK-FM                                                                         ,Radio,Atlanta,GA,Clark Atlanta University
WJSP-FM                                                                         ,Radio,Atlanta,GA,Georgia Public Telecommunications Commission
KPRG-FM                                                                         ,Radio,Mangilao ,GU,Guam Educational Radio Foundation
KHPR-FM                                                                         ,Radio,Honolulu,HI,Hawaii Public Radio
KKCR-FM                                                                         ,Radio,Hanalei,HI,"Kekahu Foundation, Inc."
WOI-FM,Radio,Des Moines,IA,"Iowa Public Radio, Inc."
KCCK-FM                                                                         ,Radio,Cedar Rapids,IA,Kirkwood Community College
KIWR-FM                                                                         ,Radio,Council Bluffs,IA,Iowa Western Community College
KWIT-FM                                                                         ,Radio,Sioux City,IA,Western Iowa Tech Community College
KBSU-FM                                                                         ,Radio,Boise,ID,Boise State University
KBSW-FM                                                                         ,Radio,Boise,ID,Boise State University
KISU-FM,Radio,Pocatello,ID,Idaho State University
KIYE-FM,Radio,Lapwai,ID,Nez Perce Tribe
WSIU-FM                                                                         ,Radio,Carbondale,IL,Board of Trustees of Southern Illinois University
WBEZ-FM                                                                         ,Radio,Chicago,IL,"Chicago Public Media, Inc."
WNIJ-FM                                                                         ,Radio,DeKalb,IL,Board of Trustees of Northern Illinois University
WDCB-FM                                                                         ,Radio,Glen Ellyn,IL,"College of DuPage, District 502"
WIUM-FM                                                                         ,Radio,Macomb,IL,Western Illinois University
WGLT-FM                                                                         ,Radio,Normal,IL,Illinois State University
WCBU-FM                                                                         ,Radio,Peoria,IL,Bradley University
WVIK-FM                                                                         ,Radio,Rock Island,IL,Augustana College
WUIS-FM                                                                         ,Radio,Springfield,IL,University of Illinois at Springfield
WILL-FM                                                                         ,Radio,Urbana,IL,The Board of Trustees of the University of Illinois
WGVV-LP,Radio,Rock Island,IL,Quad Cities Community Broadcasting Group
WFIU-FM                                                                         ,Radio,Bloomington,IN,The Trustees of Indiana University
WVPE-FM                                                                         ,Radio,Elkhart,IN,Elkhart Community Schools Corp.
WNIN-FM                                                                         ,Radio,Evansville,IN,"WNIN Tri-State Public Media, Inc."
WBOI-FM,Radio,Fort Wayne,IN,"Northeast Indiana Public Radio, Inc."
WFYI-FM                                                                         ,Radio,Indianapolis,IN,"Metropolitan Indianapolis Public Media, Inc."
WBST-FM                                                                         ,Radio,Muncie,IN,Ball State University
WVUB-FM                                                                         ,Radio,Vincennes,IN,Board of Trustees for the Vincennes University
WFHB-FM,Radio,Bloomington,IN,"Bloomington Community Radio, Inc."
WLPR-FM,Radio,Merrillville,IN,"Northwest Indiana Public Broadcasting, Inc."
KHCC-FM,Radio,Hutchinson,KS,Hutchinson Community College
KANU-FM                                                                         ,Radio,Lawrence,KS,University of Kansas
KANZ-FM                                                                         ,Radio,Garden City,KS,"The Kanza Society, Inc."
KRPS-FM,Radio,Pittsburg ,KS,Pittsburg State University
KMUW-FM                                                                         ,Radio,Wichita,KS,Wichita State University
WKYU-FM,Radio,Bowling Green,KY,Western Kentucky University
WUKY-FM                                                                         ,Radio,Lexington,KY,University of Kentucky Board of Trustees
WFPK-FM                                                                         ,Radio,Louisville,KY,"Kentucky Public Radio, Inc."
WMKY-FM                                                                         ,Radio,Morehead,KY,Morehead State University
WKMS-FM                                                                         ,Radio,Murray,KY,"Board of Regents, Murray State University"
WEKU-FM,Radio,Richmond,KY,Eastern Kentucky University
WMMT-FM,Radio,Whitesburg,KY,Appalshop Inc.
WBRH-FM                                                                         ,Radio,Baton Rouge,LA,East Baton Rouge Parish School Board
WRKF-FM                                                                         ,Radio,Baton Rouge,LA,"Public Radio, Inc."
KSLU-FM                                                                         ,Radio,Hammond ,LA,Southeastern Louisiana University
KRVS-FM,Radio,Lafayette,LA,University of Louisiana at Lafayette
KEDM-FM                                                                         ,Radio,Monroe,LA,University of Louisiana at Monroe
WWNO-FM                                                                         ,Radio,New Orleans,LA,University of New Orleans
WWOZ-FM                                                                         ,Radio,New Orleans,LA,"The Friends of WWOZ, Inc."
KDAQ-FM                                                                         ,Radio,Shreveport ,LA,"Board of Supervisors, Louisiana State University and A&M College"
WFCR-FM                                                                         ,Radio,Springfield,MA,"Board of Trustees, University of Massachusetts"
WBUR-FM                                                                         ,Radio,Boston,MA,The Trustees of Boston University 
WGBH-FM                                                                         ,Radio,Boston,MA,WGBH Educational Foundation
WUMB-FM                                                                         ,Radio,Boston,MA,"Board of Trustees, University of Massachusetts"
WICN-FM                                                                         ,Radio,Worcester,MA,"WICN Public Radio, Inc."
WOMR-FM,Radio,Provincetown,MA,"Lower Cape Communications, Inc."
WMVY-FM,Radio,West Tisbury,MA,"Friends of mvyradio, Inc."
WERS-FM,Radio,Boston,MA,Emerson College
WBJC-FM                                                                         ,Radio,Baltimore ,MD,Baltimore City Community College
WEAA-FM                                                                         ,Radio,Baltimore,MD,Morgan State University
WYPR-FM,Radio,Baltimore ,MD,WYPR License Holding LLC
WESM-FM                                                                         ,Radio,Princess Anne,MD,University of Maryland Eastern Shore
WSCL-FM                                                                         ,Radio,Salisbury ,MD,Salisbury University
WMEH-FM                                                                         ,Radio,Lewiston,ME,Maine Public Broadcasting Corporation
WERU-FM                                                                         ,Radio,East Orland,ME,Salt Pond Community Broadcasting Co.
WMEA-FM                                                                         ,Radio,Lewiston,ME,Maine Public Broadcasting Corporation
WUOM-FM,Radio,Ann Arbor,MI,The Regents of the University of Michigan
WDET-FM                                                                         ,Radio,Detroit ,MI,Wayne State University
WKAR-FM                                                                         ,Radio,East Lansing,MI,"Board of Trustees, Michigan State University"
WGVU-FM                                                                         ,Radio,Grand Rapids,MI,Grand Valley State University
WIAA-FM                                                                         ,Radio,Interlochen,MI,Interlochen Center for the Arts
WMUK-FM                                                                         ,Radio,Kalamazoo,MI,Western Michigan University
WNMU-FM,Radio,Marquette,MI,The Board of Trustees of Northern Michigan University
WCMU-FM                                                                         ,Radio,Mount Pleasant,MI,Central Michigan University
WBLV-FM                                                                         ,Radio,Twin Lake,MI,Blue Lake Fine Arts Camp
WEMU-FM                                                                         ,Radio,Ypsilanti,MI,Eastern Michigan University
WRCJ-FM,Radio,Detroit,MI,Detroit Classical and Jazz Educational Radio LLC
WUVS-LP,Radio,Muskegon,MI,West Michigan Community Help Network
KPCC-FM                                                                         ,Radio,Saint Paul,MN,Pasadena Area Community College District
KBPR-FM                                                                         ,Radio,Saint Paul,MN,Minnesota Public Radio
