station_id,station_name,candidate_url,score
pulbic-radio-for-the-front-range,Pulbic Radio for the Front Range,https://www.americanpublicmediagroup.org/audits/,4
bascomb-memorial-broadcasting-foundation-inc,"Bascomb Memorial Broadcasting Foundation, Inc.",https://bisprofiles.com/about,8
community-communications-inc,"Community Communications, Inc.",https://www.cfpublic.org/about,8
community-communications-inc,"Community Communications, Inc.",https://www.cfpublic.org/about-central-florida-public-media,8
community-communications-inc,"Community Communications, Inc.",https://www.cfpublic.org/legal-and-financial-documents,8
nathan-b-stubblefield-foundation,Nathan B. Stubblefield Foundation,https://www.wmnf.org/about-wmnf/public-reports/,11
nathan-b-stubblefield-foundation,Nathan B. Stubblefield Foundation,https://www.wmnf.org/about-wmnf/,9
nathan-b-stubblefield-foundation,Nathan B. Stubblefield Foundation,https://www.wmnf.org/about-wmnf/board-committees-and-meetings/,9
kekahu-foundation-inc,"Kekahu Foundation, Inc.",https://www.northshoregiveweek.org/about/public-files,13
kekahu-foundation-inc,"Kekahu Foundation, Inc.",https://www.northshoregiveweek.org/about/financials,11
kekahu-foundation-inc,"Kekahu Foundation, Inc.",https://www.northshoregiveweek.org/about/reports,11
nez-perce-tribe,Nez Perce Tribe,https://nezperce.org/government/finance/,9
chicago-public-media-inc,"Chicago Public Media, Inc.",https://www.wbez.org/about/staff,9
chicago-public-media-inc,"Chicago Public Media, Inc.",https://www.wbez.org/education/chicago-school-board,9
chicago-public-media-inc,"Chicago Public Media, Inc.",https://www.wbez.org/pages/public-financial-documents,9
quad-cities-community-broadcasting-group,Quad Cities Community Broadcasting Group,https://www.quadcities.com/cities/eldridge/quad-cities-veterans-group-travels-to-iowa-capital-to-raise-awareness-about-veteran-suicide/,15
quad-cities-community-broadcasting-group,Quad Cities Community Broadcasting Group,https://www.quadcities.com/about/,13
quad-cities-community-broadcasting-group,Quad Cities Community Broadcasting Group,https://www.quadcities.com/about/history/,13
elkhart-community-schools-corp,Elkhart Community Schools Corp.,https://indianafederalreportcard.doe.in.gov/profile/Corporation/165,4
northeast-indiana-public-radio-inc,"Northeast Indiana Public Radio, Inc.",https://www.wboi.org/about-us,8
northeast-indiana-public-radio-inc,"Northeast Indiana Public Radio, Inc.",https://www.wboi.org/reports,8
northeast-indiana-public-radio-inc,"Northeast Indiana Public Radio, Inc.",https://www.wboi.org/supporting-wboi-through-financial-planning,8
kentucky-public-radio-inc,"Kentucky Public Radio, Inc.",https://www.kentuckypublicmedia.org/about/public-files,15
kentucky-public-radio-inc,"Kentucky Public Radio, Inc.",https://www.kentuckypublicmedia.org/about/financials,13
kentucky-public-radio-inc,"Kentucky Public Radio, Inc.",https://www.kentuckypublicmedia.org/about/reports,13
appalshop-inc,Appalshop Inc.,http://transmissionproject.org/about,7
appalshop-inc,Appalshop Inc.,http://transmissionproject.org/about.html,7
public-radio-inc,"Public Radio, Inc.",https://www.americanpublicmediagroup.org/audits,8
public-radio-inc,"Public Radio, Inc.",https://www.pmja.org/about-us,8
the-friends-of-wwoz-inc,"The Friends of WWOZ, Inc.",https://test.wwoz.org/about/contributors,11
the-friends-of-wwoz-inc,"The Friends of WWOZ, Inc.",https://test.wwoz.org/about/jobs-wwoz,11
the-friends-of-wwoz-inc,"The Friends of WWOZ, Inc.",https://test.wwoz.org/about/staff,11
lower-cape-communications-inc,"Lower Cape Communications, Inc.",https://outercapecommunitysolutions.org/about/,11
lower-cape-communications-inc,"Lower Cape Communications, Inc.",https://outercapecommunitysolutions.org/about,10
lower-cape-communications-inc,"Lower Cape Communications, Inc.",https://outercapecommunitysolutions.org/internship-opportunity-at-occs-oportunidad-de-pasantia-en-occs/,9
friends-of-mvyradio-inc,"Friends of mvyradio, Inc.",http://www.mvyradio.com/about/public-files,14
friends-of-mvyradio-inc,"Friends of mvyradio, Inc.",http://www.mvyradio.com/about/financials,12
friends-of-mvyradio-inc,"Friends of mvyradio, Inc.",http://www.mvyradio.com/about/reports,12
wypr-license-holding-llc,WYPR License Holding LLC,https://www.wypr.org/about-wypr,10
